#host-protein-ID,NCBI-gene-ID,host-protein
246,283,ANG|RNASE5|RAA1
247,284,ANGPT1|KIAA0003|Ang1
248,285,ANGPT2|Ang2
249,286,ANK1|ANK|SPH1
250,287,ANK2|LQT4|FAP87|CFAP87
251,288,ANK3
252,290,ANPEP|CD13|PEPN|LAP1|gp150|p150
253,291,SLC25A4|PEO3|PEO2|ANT1|T1
254,292,SLC25A5|ANT2|T2|2F1|T3
255,293,SLC25A6|ANT3|ANT3Y|MGC17525
256,301,ANXA1|ANX1|LPC1
257,302,ANXA2|ANX2|ANX2L4|CAL1H|LPC2D|LIP2
258,303,ANXA2P1|LPC2A|ANX2P1|ANX2L1
259,304,ANXA2P2|ANX2P2|ANX2L2|LPC2B
260,305,ANXA2P3|ANX2P3|ANX2L3|LPC2C|LIP2
261,306,ANXA3|ANX3
262,307,ANXA4|ANX4
263,308,ANXA5|ENX2|ANX5
264,309,ANXA6|ANX6
265,310,ANXA7|ANX7
266,311,ANXA11|ANX11
267,312,ANXA13|ANX13
268,313,AOAH
269,314,AOC2|RAO|DAO2
270,316,AOX1|AO|AOH1
271,317,APAF1|CED4|APAF-1
272,318,NUDT2|APAH1
273,319,APOF
274,320,APBA1|MINT1|D9S411E|X11
275,321,APBA2|X11L|MINT2|D15S1518E|LIN-10|MGC:14091|HsT16821
276,322,APBB1|RIR|Fe65
277,323,APBB2|FE65L|FE65L1|MGC35575
278,324,APC|DP2|DP3|DP2.5|PPP1R46
279,325,APCS|SAP|PTX2|MGC88159
280,326,AIRE|APECED|PGA1|APS1
281,327,APEH|D3F15S2|DNF15S2|D3S48E
282,328,APEX1|APEX|APE|REF1|HAP1|APX|APEN|REF-1|APE-1
283,329,BIRC2|API1|cIAP1|hiap-2|MIHB|RNF48|c-IAP1
284,330,BIRC3|API2|cIAP2|hiap-1|MIHC|RNF49|MALT2|c-IAP2
285,331,XIAP|API3|BIRC4|hILP|ILP-1
286,332,BIRC5|API4|EPR-1|survivin
287,333,APLP1|APLP
288,334,APLP2|APPL2|APPH
289,335,APOA1
290,336,APOA2
291,337,APOA4
292,338,APOB
293,339,APOBEC1|BEDP|CDAR1|APOBEC-1|HEPR
294,341,APOC1
295,342,APOC1P1|lincRNA-APOC1P1-3
296,343,AQP8
297,344,APOC2
298,345,APOC3
299,346,APOC4
300,347,APOD
301,348,APOE|AD2
302,350,APOH|B2G1|BG
303,351,APP|AD1
304,353,APRT
305,354,KLK3|APS|PSA
306,355,FAS|FAS1|APT1|TNFRSF6|CD95|APO-1
307,356,FASLG|APT1LG1|TNFSF6|FasL|CD178
308,357,SHROOM2|APXL
309,358,AQP1|CO|CHIP28
310,359,AQP2
311,360,AQP3|GIL
312,361,AQP4|MIWC
313,362,AQP5
314,363,AQP6|AQP2L
315,364,AQP7|AQP7L|AQP9|AQPap
316,366,AQP9|SSC1|HsT17287
317,367,AR|DHTR|SBMA|AIS|NR3C4|SMAX1|HUMARA
318,368,ABCC6|ARA|PXE|MRP6|EST349056|MLP1|URG7
319,369,ARAF|ARAF1
320,372,ARCN1|COPD
321,373,TRIM23|ARFD1|ARD1|RNF46
322,374,AREG|SDGF|AREGB
323,375,ARF1
324,377,ARF3
325,378,ARF4|ARF2
326,379,ARL4D|ARF4L
327,380,ARF4P1|ARF4P
328,381,ARF5
329,382,ARF6
330,383,ARG1
331,384,ARG2
332,387,RHOA|ARH12|ARHA|Rho12|RHOH12
333,388,RHOB|ARH6|ARHB|RHOH6|MST081
334,389,RHOC|ARH9|ARHC
335,390,RND3|ARHE|RhoE|Rho8
336,391,RHOG|ARHG|MGC125835|MGC125836
337,392,ARHGAP1|RhoGAP|p50rhoGAP|CDC42GAP|Cdc42GAP
338,393,ARHGAP4|KIAA0131|C1|p115|RhoGAP4|SrGAP4
339,394,ARHGAP5|GFI2|RhoGAP5|p190-B|p190BRhoGAP
340,395,ARHGAP6|rhoGAPX-1
341,396,ARHGDIA|GDIA1|RHOGDI
342,397,ARHGDIB|RAP1GN1|GDIA2|GDID4|Ly-GDI|RhoGDI2
343,398,ARHGDIG|RHOGDI-3
344,399,RHOH|ARHH|TTF
345,400,ARL1|ARFL1
346,401,PHOX2A|ARIX|FEOM2|PMX2A|CFEOM2
347,402,ARL2|ARFL2
348,403,ARL3|ARFL3
349,405,ARNT|HIF-1beta|bHLHe2
350,406,ARNTL|MOP3|JAP3|BMAL1|PASD3|bHLHe5
351,407,ARR3|ARRX
352,408,ARRB1|ARR1
353,409,ARRB2|ARR2|BARR2|DKFZp686L0365
354,410,ARSA
355,411,ARSB
356,412,STS|ARSC1|ARSC
357,413,ARSC2|ARSC
358,414,ARSD
359,415,ARSL|CDPX|CDPX1|ARSE
360,416,ARSF
361,417,ART1|ART2|CD296
362,418,ART2P|RT6|ART1P
363,419,ART3
364,420,ART4|DO|DOK1|CD297
365,421,ARVCF
366,427,ASAH1|ASAH|AC|PHP32|FLJ21558|ACDase
367,429,ASCL1|ASH1|HASH1|bHLHa46
368,430,ASCL2|ASH2|HASH2|bHLHa45
369,432,ASGR1|CLEC4H1
370,433,ASGR2|CLEC4H2
371,434,ASIP|AGTIL|ASP
372,435,ASL
373,436,ASLP1|ASLL
374,438,ASMT|HIOMT|ASMTY|HIOMTY
375,439,GET3|ASNA1|ARSA-I|TRC40
376,440,ASNS
377,442,ASNSP2|ASNSL2
378,443,ASPA|ASP|ACY2
379,444,ASPH|CASQ2BP1|BAH|JCTN|HAAH
380,445,ASS1|ASS|CTLN1
381,447,ASS1P2|ASSP2
382,449,ASS1P4|ASSP4
383,450,ASS1P5|ASSP5
384,451,ASS1P6|ASSP6
385,453,ASS1P8|ASSP8
386,454,ASS1P9|ASSP9
387,455,ASS1P10|ASSP10
388,459,ASS1P14|ASSP14
389,460,ASTN1|ASTN
390,462,SERPINC1|AT3|ATIII|MGC22579
391,463,ZFHX3|ATBF1|C16orf47|ZNF927|FLJ26184
392,466,ATF1|TREB36
393,467,ATF3
394,468,ATF4|TXREB|TAXREB67|CREB-2
395,469,ATF4P1|TXREBP|ATF4P|TAXREB67P
396,471,ATIC|PURH|AICARFT|IMPCHASE
397,472,ATM|ATA|ATDC|ATC|ATD|TEL1|TELO1
398,473,RERE|ATN1L|KIAA0458|ARP|ARG|DNB1|ATN2
399,474,ATOH1|HATH1|MATH-1|Math1|bHLHa14
400,475,ATOX1|HAH1
401,476,ATP1A1
402,477,ATP1A2|MHP2|FHM2
403,478,ATP1A3|DYT12
404,479,ATP12A|ATP1AL1|HK|H-K-ATPase
405,480,ATP1A4|ATP1AL2
406,481,ATP1B1|ATP1B
407,482,ATP1B2|AMOG
408,483,ATP1B3|FLJ29027|CD298
409,484,ATP1B3P1
410,485,ATP1B1P1|ATP1BL1
411,486,FXYD2|ATP1G1|HOMG2|MGC12372
412,487,ATP2A1|ATP2A|SERCA1
413,488,ATP2A2|ATP2B|DAR|SERCA2
414,489,ATP2A3|SERCA3
415,490,ATP2B1|PMCA1
416,491,ATP2B2|PMCA2
417,492,ATP2B3|SCAX1|CLA2|PMCA3|CFAP39
418,493,ATP2B4|ATP2B2|MXRA1|PMCA4
419,495,ATP4A|ATP6A
420,496,ATP4B|ATP6B
421,498,ATP5F1A|ATP5AL2|ATPM|ATP5A1|ATP5A|hATP1|OMR|ORM
422,501,ALDH7A1|ATQ1|EPD|PDE
423,504,ATP5F1AP2|ATP5AP2|ATP5A1P2
424,506,ATP5F1B|ATPSB|ATP5B
425,507,ATP5F1BP1|ATPSBL1|ATP5BL1|ATP5BP1|ATPMBL1
426,509,ATP5F1C|ATP5CL1|ATP5C|ATP5C1
427,513,ATP5F1D|ATP5D
428,514,ATP5F1E|ATP5E
429,515,ATP5PB|ATP5F1
430,516,ATP5MC1|ATP5G|ATP5G1
431,517,ATP5MC2|ATP5G2
432,518,ATP5MC3|ATP5G3
433,520,ATP5MC2P1|ATP5GP1|ATP5G2P1
434,521,ATP5ME|ATP5I
435,522,ATP5PF|ATP5A|ATP5|ATPM|ATP5J|CF6
436,523,ATP6V1A|VPP2|ATP6A1|ATP6V1A1|Vma1|VA68
437,525,ATP6V1B1|VPP3|ATP6B1|VATB|RTA1B|Vma2
438,526,ATP6V1B2|VPP3|ATP6B2|VATB|Vma2|HO57
439,527,ATP6V0C|ATPL|ATP6C|ATP6L|VATL|Vma3
440,528,ATP6V1C1|ATP6D|ATP6C|VATC|Vma5
441,529,ATP6V1E1|ATP6E|ATP6V1E|P31|Vma4|ATP6E2
442,533,ATP6V0B|ATP6F|VMA16|HATPL
443,534,ATP6V1G2|ATP6G|ATP6G2|Vma10|NG38|Em:AC004181.3
444,535,ATP6V0A1|VPP1|ATP6N1|ATP6N1A|a1|Vph1|Stv1
445,537,ATP6AP1|ATP6S1|ATP6IP1|ORF|XAP-3|VATPS1|16A|Ac45|XAP3|CF2
446,538,ATP7A|MNK
447,539,ATP5PO|ATP5O|OSCP|ATPO
448,540,ATP7B|WND
449,541,ALDH7A1P1|ATQL1
450,542,ALDH7A1P2|ATQL2
451,543,ALDH7A1P3|ATQL3
452,544,ALDH7A1P4|ATQL4
453,545,ATR|FRP1|SCKL|SCKL1|MEC1
454,546,ATRX|RAD54|JMS|MRX52|XH2|XNP
455,547,KIF1A|ATSV|C2orf20|SPG30|UNC104
456,549,AUH
457,550,AUP1
458,551,AVP|ARVP|ADH
459,552,AVPR1A|AVPR1
460,553,AVPR1B|AVPR3
461,554,AVPR2|DIR3|DIR|V2R
462,558,AXL|UFO|JTK11|Tyro7|ARK
463,563,AZGP1|ZA2G|ZAG
464,566,AZU1|AZU|CAP37|AZAMP|HBP|NAZC|HUMAZUR
465,567,B2M
466,568,B2MR
467,570,BAAT|BAT
468,571,BACH1|BACH-1|BTBD24
469,572,BAD|BCL2L8|BBC2
470,573,BAG1
471,574,BAGE|CT2.1|BAGE1
472,575,ADGRB1|BAI1
473,576,ADGRB2|BAI2
474,577,ADGRB3|BAI3|KIAA0550
475,578,BAK1|CDN1|BCL2L7|BAK
476,579,NKX3-2|BAPX1|NKX3B|NKX3.2
477,580,BARD1
478,581,BAX|BCL2L4
479,582,BBS1|FLJ23590
480,583,BBS2|BBS
481,585,BBS4
482,586,BCAT1|BCT1
483,587,BCAT2|BCT2|BCAM
484,590,BCHE|CHE1|CHE2|E1
485,593,BCKDHA|OVD1A|MSU
486,594,BCKDHB
487,595,CCND1|BCL1|D11S287E|PRAD1|U21B31
488,596,BCL2|Bcl-2|PPP1R50
