#DrugBank-ID,host-protein-ID,NCBI-host-protein-ID,gene
5668,1397,1786,DNMT1
8744,3569,4835,NQO2
464,4192,5624,PROC
464,4195,5627,PROS1
148,951,1160,CKMT2
148,949,1158,CKM
148,944,1152,CKB
148,4901,6535,SLC6A8
148,1937,2593,GAMT
148,24078,548596,CKMT1A
4866,1014,1277,COL1A1
4866,3247,4313,MMP2
3903,68,58,ACTA1
1888,834,1017,CDK2
3414,3120,4124,MAN2A1
8399,426,509,ATP5C1
8399,421,498,ATP5A1
8399,424,506,ATP5B
12436,5173,6869,TACR1
6924,1078,1357,CPA1
5192,5351,7068,THRB
8409,2641,3501,IGHG2
8409,2640,3500,IGHG1
8860,2402,3156,HMGCR
232,617,759,CA1
232,4920,6557,SLC12A1
232,618,760,CA2
232,620,762,CA4
8044,1411,1803,DPP4
2147,586,718,C3
7427,2309,3043,HBB
7427,2305,3039,HBA1
8536,834,1017,CDK2
198,874,1066,CES1
198,3515,4758,NEU1
198,3516,4759,NEU2
198,5707,7504,NA
8904,5404,7124,TNF
5463,11569,54106,TLR9
4768,9805,27010,TPK1
7724,4057,5467,PPARD
7724,6302,8648,NCOA1
7724,4056,5465,PPARA
7724,4058,5468,PPARG
1929,18929,200895,DHFRL1
7593,1209,1513,CTSK
8426,1671,2159,F10
2784,4306,5770,PTPN1
5495,3251,4318,MMP9
5510,57,43,ACHE
7286,209,231,AR
4865,4571,6122,RPL3
1750,4868,6500,SKP1
13503,57,43,ACHE
1427,5404,7124,TNF
1427,3792,5142,PDE4B
1427,3789,5139,PDE3A
168,14685,80834,TAS1R2
168,5662,7442,TRPV1
168,15086,83756,TAS1R3
5398,755,928,CD9
2778,1708,2203,FBP1
4781,189,210,ALAD
8214,3576,4843,NOS2
8574,3241,4301,MLLT4
3276,2170,2885,GRB2
7584,187,207,AKT1
7584,2212,2932,GSK3B
7982,834,1017,CDK2
3701,4897,6531,SLC6A3
2343,57,43,ACHE
997,5428,7153,TOP2A
997,6729,9221,NOLC1
997,7001,9568,GABBR2
9203,142,146,ADRA1D
703,618,760,CA2
703,624,766,CA7
703,620,762,CA4
703,619,761,CA3
703,617,759,CA1
1428,3875,5241,PGR
1428,1628,2100,ESR2
1428,209,231,AR
1428,1627,2099,ESR1
4661,740,912,CD1D
4716,5548,7297,TYK2
4716,2809,3717,JAK2
4716,1286,1613,DAPK3
4716,2810,3718,JAK3
4716,2808,3716,JAK1
1667,3589,4860,PNP
8519,2871,3791,KDR
3019,834,1017,CDK2
5578,2871,3791,KDR
9061,6512,8911,CACNA1I
9061,6514,8913,CACNA1G
9061,11242,51393,TRPV2
9061,6513,8912,CACNA1H
9061,2045,2741,GLRA1
9061,4058,5468,PPARG
9061,934,1139,CHRNA7
9061,5662,7442,TRPV1
9061,2545,3350,HTR1A
9061,1009,1268,CNR1
9061,2553,3359,HTR3A
9061,3677,4988,OPRM1
9061,5642,7416,VDAC1
9061,13928,79054,TRPM8
9061,2126,2835,GPR12
9061,3674,4985,OPRD1
9061,18521,162514,TRPV3
9061,132,134,ADORA1
9061,6774,9290,GPR55
9061,13394,59341,TRPV4
9061,5928,8001,GLRA3
9061,6553,8989,TRPA1
9061,2550,3356,HTR2A
9061,2130,2841,GPR18
9061,1010,1269,CNR2
6422,2554,3360,HTR4
6422,2553,3359,HTR3A
936,4287,5742,PTGS1
936,4288,5743,PTGS2
936,1311,1645,AKR1C1
202,924,1129,CHRM2
202,934,1139,CHRNA7
202,12906,57053,CHRNA10
202,923,1128,CHRM1
202,926,1131,CHRM3
4770,6238,8566,PDXK
239,6468,8856,NR1I2
1327,4037,5444,PON1
1327,2713,3600,IL15
1327,2679,3558,IL2
5992,5404,7124,TNF
4391,4206,5644,PRSS1
6732,1627,2099,ESR1
6732,5314,7025,NR2F1
6732,1629,2101,ESRRA
6732,1234,1545,CYP1B1
6732,179,196,AHR
6715,17413,134864,TAAR1
2396,3143,4151,MB
12865,696,846,CASR
7324,2527,3320,HSP90AA1
2464,4206,5644,PRSS1
2464,4207,5645,PRSS2
3403,5609,7371,UCK2
3403,11420,51727,CMPK1
12334,5534,7280,TUBB
12334,14700,81027,TUBB1
5712,1082,1361,CPB2
3323,244,280,AMY2B
5037,803,983,CDK1
5037,834,1017,CDK2
7458,4137,5566,PRKACA
8739,4125,5550,PREP
6550,785,960,CD44
1204,5428,7153,TOP2A
1204,149,154,ADRB2
1812,5138,6820,SULT2B1
1812,5112,6783,SULT1E1
1812,7336,9957,HS3ST1
1812,4509,6035,RNASE1
1812,7334,9955,HS3ST3A1
1812,5135,6817,SULT1A1
1812,2540,3340,NDST1
1812,5140,6822,SULT2A1
1812,4510,6036,RNASE2
1812,9945,27284,SULT1B1
5990,7349,9971,NR1H4
11672,7419,10057,ABCC5
11672,713,873,CBR1
11672,5646,7421,VDR
11672,4058,5468,PPARG
11672,2227,2950,GSTP1
8170,3249,4316,MMP7
7379,838,1021,CDK6
5198,2871,3791,KDR
5198,5118,6790,AURKA
9130,2668,3543,IGLL1
9130,298,345,APOC3
9130,2429,3189,HNRNPH3
9130,2527,3320,HSP90AA1
9130,584,716,C1S
9130,5721,7529,YWHAB
9130,79,71,ACTG1
9130,2901,3827,KNG1
9130,99,95,ACY1
9130,582,714,C1QC
9130,590,722,C4BPA
9130,19406,252969,NEIL2
9130,5666,7448,VTN
9130,1661,2147,F2
9130,16627,116844,LRG1
9130,2281,3008,HIST1H1E
9130,1351,1727,CYB5R3
9130,3717,5037,PEBP1
9130,2925,3856,KRT8
9130,5534,7280,TUBB
9130,2309,3043,HBB
9130,20863,341208,HEPHL1
9130,21,1,A1BG
9130,511,627,BDNF
9130,4808,6426,SRSF1
9130,164,173,AFM
9130,5975,8175,SF3A2
9130,8983,23468,CBX5
9130,2305,3039,HBA1
9130,5533,7278,TUBA3C
9130,297,344,APOC2
9130,2561,3375,IAPP
9130,2917,3848,KRT1
9130,180,197,AHSG
9130,4977,6622,SNCA
9130,2213,2934,GSN
9130,290,336,APOA2
9130,2215,2936,GSR
9130,662,811,CALR
9130,4803,6421,SFPQ
9130,1527,1973,EIF4A1
9130,588,720,C4B
9130,7708,10399,RACK1
9130,2927,3858,KRT10
9130,289,335,APOA1
9130,2968,3921,RPSA
9130,3868,5230,PGK1
9130,178,191,AHCY
9130,3728,5052,PRDX1
9130,3565,4830,NME1
9130,3638,4921,TKT
9130,263,308,ANXA5
9130,1571,2023,ENO1
9130,2522,3312,HSPA8
9130,4690,6275,S100A4
9130,291,337,APOA4
9130,4065,5478,PPIA
9130,2534,3329,HSPD1
9130,91,87,ACTN1
9130,4062,5473,PPBP
9130,5209,6906,SERPINA7
9130,7970,10728,PTGES3
9130,2519,3309,HSPA5
9130,2640,3500,IGHG1
9130,2793,3698,ITIH2
9130,577,708,C1QBP
9130,301,348,APOE
9130,4694,6279,S100A8
9130,465,567,B2M
9130,287,333,APLP1
9130,2319,3053,SERPIND1
9130,2982,3939,LDHA
9130,4744,6341,SCO1
9130,2578,3419,IDH3A
9130,3963,5340,PLG
9130,262,307,ANXA4
9130,578,710,SERPING1
9130,2112,2821,GPI
9130,2330,3068,HDGF
9130,3825,5176,SERPINF1
9130,3730,5054,SERPINE1
9130,2926,3857,KRT9
9130,3066,4060,LUM
9130,586,718,C3
9130,172,183,AGT
9130,5403,7123,CLEC3B
9130,2479,3250,HPR
9130,8430,11315,PARK7
9130,2207,2923,PDIA3
9130,7018,9588,PRDX6
9130,2101,2805,GOT1
9130,1665,2152,TF
9130,3939,5315,PKM
9130,2431,3191,HNRNPL
9130,463,563,AZGP1
9130,4398,5902,RANBP1
9130,7652,10327,AKR1A1
9130,8167,10963,STIP1
9130,3895,5267,SERPINA4
9130,2326,3064,HTT
9130,4268,5720,PSME1
9130,4624,6187,RPS2
9130,4190,5621,PRNP
9130,3715,5034,P4HB
9130,3893,5265,SERPINA1
9130,14189,79661,NEIL1
9130,4037,5444,PON1
9130,3967,5345,SERPINF2
9130,2336,3075,CFH
9130,3862,5223,PGAM1
9130,4688,6273,S100A2
9130,2216,2937,GSS
9130,5599,7358,UGDH
9130,2421,3181,HNRNPA2B1
9130,602,735,C9
9130,2787,3692,EIF6
9130,708,866,SERPINA6
9130,2585,3426,CFI
9130,390,462,SERPINC1
9130,302,350,APOH
9130,2045,2741,GLRA1
9130,1940,2597,GAPDH
9130,12593,55911,APOBR
9130,879,1072,CFL1
9130,2427,3187,HNRNPH1
9130,279,325,APCS
9130,6059,8347,HIST1H2BC
9130,300,347,APOD
9130,599,732,C8B
9130,5111,6782,HSPA13
9130,5531,7276,TTR
9130,594,727,C5
9130,2643,3503,IGHG4
9130,971,1192,CLIC1
9130,16443,114770,PGLYRP2
9130,303,351,APP
9130,5456,7184,HSP90B1
9130,5292,7001,PRDX2
9130,5170,6866,TAC3
9130,1492,1915,EEF1A1
9130,970,1191,CLU
9130,2918,3849,KRT2
9130,2624,3483,IGFALS
960,148,153,ADRB1
960,2546,3351,HTR1B
960,150,155,ADRB3
960,2545,3350,HTR1A
960,149,154,ADRB2
14017,8972,23451,SF3B1
2279,11596,54363,HAO1
5713,1671,2159,F10
6825,2094,2798,GNRHR
515,400,475,ATOX1
515,4896,6530,SLC6A2
515,22,2,A2M
515,3273,4350,MPG
515,1665,2152,TF
8187,1661,2147,F2
2563,1478,1892,ECHS1
2673,57,43,ACHE
222,2850,3767,KCNJ11
222,5147,6833,ABCC8
222,2841,3758,KCNJ1
7930,62,51,ACOX1
4442,4206,5644,PRSS1
2189,1401,1791,DNTT
1273,931,1136,CHRNA3
1273,932,1137,CHRNA4
1273,934,1139,CHRNA7
1273,6545,8973,CHRNA6
1273,936,1141,CHRNB2
2354,4206,5644,PRSS1
242,4667,6240,RRM1
242,11570,54107,POLE3
242,10856,50484,RRM2B
242,4015,5422,POLA1
242,4019,5426,POLE
242,3589,4860,PNP
242,4020,5427,POLE2
242,4668,6241,RRM2
242,12756,56655,POLE4
166,6491,8884,SLC5A6
166,11351,51601,LIPT1
166,8211,11019,LIAS
4539,1264,1588,CYP19A1
8931,2252,2977,GUCY1A2
6413,4897,6531,SLC6A3
841,149,154,ADRB2
841,1627,2099,ESR1
841,148,153,ADRB1
6216,145,150,ADRA2A
6216,149,154,ADRB2
6216,2546,3351,HTR1B
6216,147,152,ADRA2C
6216,1420,1812,DRD1
6216,1421,1813,DRD2
6216,1423,1815,DRD4
6216,1422,1814,DRD3
6216,2557,3363,HTR7
6216,2555,3361,HTR5A
6216,2545,3350,HTR1A
6216,146,151,ADRA2B
6216,1328,1665,HRH2
6216,2552,3358,HTR2C
6216,2550,3356,HTR2A
6216,148,153,ADRB1
6216,2556,3362,HTR6
6216,142,146,ADRA1A
6216,1323,1659,HRH1
6216,2551,3357,HTR2B
2643,3124,4129,MAOB
2643,2620,3479,IGF1
5932,1806,2321,FLT1
5932,5647,7422,VEGFA
5932,1809,2324,FLT4
872,461,554,AVPR2
872,459,552,AVPR1A
3182,1141,1431,CS
5455,460,553,AVPR1B
3864,4125,5550,PREP
8300,3921,5294,PIK3CG
14004,4093,5515,PPP2CA
2877,4410,5915,RARB
6891,618,760,CA2
663,2192,2908,NR3C1
2401,2984,3945,LDHB
1225,1671,2159,F10
1225,390,462,SERPINC1
2824,3659,4953,ODC1
2824,4844,6470,SHMT1
4136,1661,2147,F2
998,2546,3351,HTR1B
998,2547,3352,HTR1D
7433,1540,1990,CELA1
5812,1262,1586,CYP17A1
661,639,783,CACNB2
661,632,776,CACNA1D
661,640,784,CACNB3
661,635,779,CACNA1S
661,641,785,CACNB4
661,6512,8911,CACNA1I
661,143,147,ADRA1B
661,638,782,CACNB1
661,631,775,CACNA1C
661,629,773,CACNA1A
661,142,146,ADRA1A
661,2850,3767,KCNJ11
661,2840,3757,KCNH2
661,4898,6532,SLC6A4
661,142,146,ADRA1D
661,6514,8913,CACNA1G
661,634,778,CACNA1F
661,630,774,CACNA1B
661,4737,6331,SCN5A
7157,1081,1360,CPB1
4794,1240,1555,CYP2B6
5255,696,846,CASR
5255,19714,266977,ADGRF1
12023,2688,3568,IL5RA
12023,1718,2214,FCGR3A
9242,145,150,ADRA2A
9242,8353,11188,NISCH
3331,9560,26330,GAPDHS
8323,2641,3501,IGHG2
1858,1209,1513,CTSK
3736,4457,5972,REN
5217,7485,10135,NAMPT
2058,1759,2263,FGFR2
2058,1756,2260,FGFR1
1588,1917,2570,GABRR2
1588,18936,200959,GABRR3
1588,1907,2558,GABRA5
1588,1914,2567,GABRG3
1588,1905,2556,GABRA3
1588,1913,2565,GABRG1
1588,1910,2562,GABRB3
1588,1912,2564,GABRE
1588,1904,2555,GABRA2
1588,1911,2563,GABRD
1588,1909,2560,GABRB1
1588,1903,2554,GABRA1
1588,1916,2569,GABRR1
1588,1915,2568,GABRP
1819,1574,2027,ENO3
1819,3768,5105,PCK1
376,927,1132,CHRM4
376,923,1128,CHRM1
376,926,1131,CHRM3
376,924,1129,CHRM2
376,928,1133,CHRM5
8499,686,836,CASP3
1861,2265,2992,GYG1
1861,1927,2582,GALE
1861,21412,360203,GLT6D1
6947,1661,2147,F2
11345,5662,7442,TRPV1
11345,6553,8989,TRPA1
11345,13928,79054,TRPM8
11345,18521,162514,TRPV3
5207,5404,7124,TNF
5207,2676,3554,IL1R1
350,4287,5742,PTGS1
350,4457,5972,REN
350,2841,3758,KCNJ1
9330,1516,1956,EGFR
4379,4457,5972,REN
8113,4137,5566,PRKACA
8113,4140,5569,PKIA
4792,4206,5644,PRSS1
1338,924,1129,CHRM2
1338,930,1135,CHRNA2
1338,926,1131,CHRM3
545,57,43,ACHE
545,192,213,ALB
545,484,590,BCHE
2935,5456,7184,HSP90B1
681,4737,6331,SCN5A
3900,654,801,CALM1
3900,5440,7167,TPI1
3900,4509,6035,RNASE1
3900,8187,10988,METAP2
9033,2790,3695,ITGB7
9033,2773,3676,ITGA4
7881,2640,3500,IGHG1
1880,3223,4282,MIF
457,146,151,ADRA2B
457,142,146,ADRA1D
457,145,150,ADRA2A
457,14704,81033,KCNH6
457,15886,90134,KCNH7
457,2840,3757,KCNH2
457,143,147,ADRA1B
457,142,146,ADRA1A
8114,4140,5569,PKIA
8114,4137,5566,PRKACA
7069,6536,8942,KYNU
4072,61,50,ACO2
13751,5404,7124,TNF
13751,686,836,CASP3
13751,3039,4023,LPL
13751,2503,3290,HSD11B1
7785,102,100,ADA
565,930,1135,CHRNA2
1977,3951,5328,PLAU
3052,5218,6916,TBXAS1
6851,3054,4048,LTA4H
387,926,1131,CHRM3
387,924,1129,CHRM2
387,927,1132,CHRM4
387,923,1128,CHRM1
724,11185,51311,TLR8
724,11159,51284,TLR7
4285,4306,5770,PTPN1
8137,834,1017,CDK2
1132,3124,4129,MAOB
1132,4056,5465,PPARA
1132,4058,5468,PPARG
1132,4057,5467,PPARD
316,4287,5742,PTGS1
316,2227,2950,GSTP1
316,4288,5743,PTGS2
316,1676,2166,FAAH
316,5662,7442,TRPV1
9300,924,1129,CHRM2
9300,926,1131,CHRM3
4521,2219,2940,GSTA3
13894,6100,8399,PLA2G10
692,143,147,ADRA1B
692,142,146,ADRA1D
692,145,150,ADRA2A
692,142,146,ADRA1A
4882,5425,7150,TOP1
6652,991,1234,CCR5
9083,500,610,HCN2
4258,5646,7421,VDR
7689,26136,728635,DHRS4L1
437,5702,7498,XDH
6919,1661,2147,F2
9129,2748,3643,INSR
5150,303,351,APP
4899,3605,4881,NPR1
4899,3607,4883,NPR3
4899,3606,4882,NPR2
3796,3994,5375,PMP2
3796,4116,5538,PPT1
3796,2956,3906,LALBA
3796,4493,6010,RHO
3796,2416,3174,HNF4G
3796,1243,1558,CYP2C8
3796,4056,5465,PPARA
3796,9038,23541,SEC14L2
3796,3723,5047,PAEP
3796,9846,27095,TRAPPC3
5483,5733,7544,ZFY
5483,8895,23352,UBR4
8169,1349,1723,DHODH
7105,1661,2147,F2
4074,483,587,BCAT2
6832,1628,2100,ESR2
6832,6302,8648,NCOA1
7567,1627,2099,ESR1
7360,5118,6790,AURKA
1042,4288,5743,PTGS2
6937,1628,2100,ESR2
3390,66,55,ACPP
8677,834,1017,CDK2
470,1010,1269,CNR2
470,1009,1268,CNR1
7285,3251,4318,MMP9
3227,21190,349565,NMNAT3
3227,561,683,BST1
3227,13747,64802,NMNAT1
7654,910,1111,CHEK1
492,1304,1636,ACE
4954,132,134,ADORA1
3012,1078,1357,CPA1
697,147,152,ADRA2C
697,8353,11188,NISCH
697,146,151,ADRA2B
697,145,150,ADRA2A
9258,390,462,SERPINC1
9258,1671,2159,F10
9258,2319,3053,SERPIND1
3765,4509,6035,RNASE1
5343,4700,6285,S100B
7015,1411,1803,DPP4
7519,9103,23621,BACE1
659,936,1141,CHRNB2
659,2199,2915,GRM5
8091,1142,1432,MAPK14
8490,3255,4322,MMP13
6927,6302,8648,NCOA1
6927,1628,2100,ESR2
6927,1627,2099,ESR1
7094,3054,4048,LTA4H
12965,22,2,A2M
12965,4056,5465,PPARA
12965,192,213,ALB
12965,1077,1356,CP
2115,196,217,ALDH2
5890,5647,7422,VEGFA
6829,4306,5770,PTPN1
85,333,388,RHOB
4474,4693,6278,S100A7
1165,5428,7153,TOP2A
665,209,231,AR
7162,2809,3717,JAK2
1422,8187,10988,METAP2
6515,5662,7442,TRPV1
11166,1671,2159,F10
11166,1661,2147,F2
6241,747,920,CD4
11085,5349,7066,TPO
2773,4287,5742,PTGS1
3192,2508,3295,HSD17B4
6436,2871,3791,KDR
4080,5056,6714,SRC
7187,209,231,AKR1B1
8136,834,1017,CDK2
2837,3145,4153,MBL2
11300,1675,2165,F13B
11300,1674,2162,F13A1
11300,1669,2157,F8
11300,1761,2266,FGG
11300,1740,2244,FGB
11300,1672,2160,F11
11300,1739,2243,FGA
11300,1662,2149,F2R
11300,1666,2153,F5
11300,6563,9002,F2RL3
3759,2176,2891,GRIA2
8678,4314,5787,PTPRB
4367,7530,10188,TNK2
4367,973,1195,CLK1
6237,6306,8654,PDE5A
373,149,154,ADRB2
373,148,153,ADRB1
11217,5550,7299,TYR
7128,1661,2147,F2
5005,995,1238,CCR9
7465,1411,1803,DPP4
5773,1607,2064,ERBB2
8395,1142,1432,MAPK14
7270,1708,2203,FBP1
1158,401,476,ATP1A1
5395,150,155,ADRB3
1320,4737,6331,SCN5A
7540,834,1017,CDK2
5075,1154,1445,CSK
5075,1809,2324,FLT4
5075,1806,2321,FLT1
5075,2871,3791,KDR
8059,3921,5294,PIK3CG
8059,3917,5290,PIK3CA
8059,3969,5347,PLK1
8059,3922,5295,PIK3R1
1029,2812,3725,JUN
1029,173,185,AGTR1
8391,8069,10846,PDE10A
1094,4838,6462,SHBG
1094,6124,8435,SOAT2
1094,4999,6646,SOAT1
1094,3344,4547,MTTP
54,583,715,C1R
54,6638,9103,FCGR2C
54,582,714,C1QC
54,580,712,C1QA
54,1718,2214,FCGR3A
54,1716,2212,FCGR2A
54,1717,2213,FCGR2B
54,2785,3690,ITGB3
54,2771,3674,ITGA2B
54,581,713,C1QB
54,1719,2215,FCGR3B
54,5666,7448,VTN
54,584,716,C1S
54,1714,2209,FCGR1A
11421,15838,89832,CHRFAM7A
6097,872,1062,CENPE
7495,2527,3320,HSP90AA1
1834,2222,2944,GSTM1
1834,2227,2950,GSTP1
3233,1447,1841,DTYMK
848,931,1136,CHRNA3
848,223,251,ALPPL2
7400,1661,2147,F2
4079,4493,6010,RHO
5767,2689,3569,IL6
5767,2675,3553,IL1B
5767,3537,4791,NFKB2
5767,3536,4790,NFKB1
5767,5404,7124,TNF
6480,2554,3360,HTR4
1016,2227,2950,GSTP1
1016,1093,1374,CPT1A
1016,883,1080,CFTR
1016,7422,10060,ABCC9
1016,6301,8647,ABCB11
1016,34,19,ABCA1
1016,2845,3762,KCNJ5
236,3789,5139,PDE3A
6579,2685,3565,IL4
8008,1349,1723,DHODH
5316,2550,3356,HTR2A
5316,1421,1813,DRD2
6273,2690,3570,IL6R
3791,5614,7376,NR1H2
8123,834,1017,CDK2
6586,4006,5406,PNLIP
863,484,590,BCHE
863,1328,1665,HRH2
863,57,43,ACHE
2485,12590,55907,CMAS
193,16603,116443,GRIN3A
193,4898,6532,SLC6A4
193,923,1128,CHRM1
193,2552,3358,HTR2C
193,3674,4985,OPRD1
193,934,1139,CHRNA7
193,3675,4986,OPRK1
193,4896,6530,SLC6A2
193,926,1131,CHRM3
193,3677,4988,OPRM1
9014,7614,10280,SIGMAR1
9014,1422,1814,DRD3
9014,2552,3358,HTR2C
3039,618,760,CA2
3726,4509,6035,RNASE1
2458,2223,2946,GSTM2
2458,2222,2944,GSTM1
11120,4164,5594,MAPK1
6168,2675,3553,IL1B
7394,421,498,ATP5A1
7394,426,509,ATP5C1
7394,424,506,ATP5B
6689,1673,2161,F12
6689,66,55,ACPP
6016,1422,1814,DRD3
6016,1421,1813,DRD2
6016,2550,3356,HTR2A
6016,2551,3357,HTR2B
6016,2545,3350,HTR1A
6016,1323,1659,HRH1
